file,base,notes_csv,pianoroll,velocity_hist,instruments_count,tempo_changes_count,avg_tempo,total_duration_sec,note_count,unique_pitches,avg_velocity,median_velocity,avg_note_duration,instruments
melancholy_piano.mid,melancholy_piano,./midi_analysis_output\melancholy_piano_notes.csv,./midi_analysis_output\melancholy_piano_pianoroll.png,./midi_analysis_output\melancholy_piano_velocity_hist.png,1,1,80.0,15.0,22,7,67.82,68.0,0.681818,"[{'index': 0, 'program': 0, 'is_drum': False}]"
output_1.mid,output_1,./midi_analysis_output\output_1_notes.csv,./midi_analysis_output\output_1_pianoroll.png,./midi_analysis_output\output_1_velocity_hist.png,1,1,120.0,15.077083,30,5,105.0,105.0,0.505139,"[{'index': 0, 'program': 33, 'is_drum': False}]"
output_2.mid,output_2,./midi_analysis_output\output_2_notes.csv,./midi_analysis_output\output_2_pianoroll.png,./midi_analysis_output\output_2_velocity_hist.png,3,1,120.0,15.119792,88,19,61.14,60.0,0.639406,"[{'index': 0, 'program': 65, 'is_drum': False}, {'index': 1, 'program': 1, 'is_drum': False}, {'index': 2, 'program': 33, 'is_drum': False}]"
